Id,Month,Day,Date,WeekDay,Time,Calories
1503960366,4,12,2016-04-12,Tuesday,00:00:00,81
1503960366,4,12,2016-04-12,Tuesday,01:00:00,61
1503960366,4,12,2016-04-12,Tuesday,02:00:00,59
1503960366,4,12,2016-04-12,Tuesday,03:00:00,47
1503960366,4,12,2016-04-12,Tuesday,04:00:00,48
1503960366,4,12,2016-04-12,Tuesday,05:00:00,48
1503960366,4,12,2016-04-12,Tuesday,06:00:00,48
1503960366,4,12,2016-04-12,Tuesday,07:00:00,47
1503960366,4,12,2016-04-12,Tuesday,08:00:00,68
1503960366,4,12,2016-04-12,Tuesday,09:00:00,141
1503960366,4,12,2016-04-12,Tuesday,10:00:00,99
1503960366,4,12,2016-04-12,Tuesday,11:00:00,76
1503960366,4,12,2016-04-12,Tuesday,12:00:00,73
1503960366,4,12,2016-04-12,Tuesday,13:00:00,66
1503960366,4,12,2016-04-12,Tuesday,14:00:00,110
1503960366,4,12,2016-04-12,Tuesday,15:00:00,151
1503960366,4,12,2016-04-12,Tuesday,16:00:00,76
1503960366,4,12,2016-04-12,Tuesday,17:00:00,83
1503960366,4,12,2016-04-12,Tuesday,18:00:00,124
1503960366,4,12,2016-04-12,Tuesday,19:00:00,104
1503960366,4,12,2016-04-12,Tuesday,20:00:00,132
1503960366,4,12,2016-04-12,Tuesday,21:00:00,100
1503960366,4,12,2016-04-12,Tuesday,22:00:00,65
1503960366,4,12,2016-04-12,Tuesday,23:00:00,81
1503960366,4,13,2016-04-13,Wednesday,00:00:00,69
1503960366,4,13,2016-04-13,Wednesday,01:00:00,48
1503960366,4,13,2016-04-13,Wednesday,02:00:00,47
1503960366,4,13,2016-04-13,Wednesday,03:00:00,53
1503960366,4,13,2016-04-13,Wednesday,04:00:00,47
1503960366,4,13,2016-04-13,Wednesday,05:00:00,47
1503960366,4,13,2016-04-13,Wednesday,06:00:00,48
1503960366,4,13,2016-04-13,Wednesday,07:00:00,59
1503960366,4,13,2016-04-13,Wednesday,08:00:00,69
1503960366,4,13,2016-04-13,Wednesday,09:00:00,136
1503960366,4,13,2016-04-13,Wednesday,10:00:00,77
1503960366,4,13,2016-04-13,Wednesday,11:00:00,84
1503960366,4,13,2016-04-13,Wednesday,12:00:00,82
1503960366,4,13,2016-04-13,Wednesday,13:00:00,72
1503960366,4,13,2016-04-13,Wednesday,14:00:00,128
1503960366,4,13,2016-04-13,Wednesday,15:00:00,79
1503960366,4,13,2016-04-13,Wednesday,16:00:00,71
1503960366,4,13,2016-04-13,Wednesday,17:00:00,87
1503960366,4,13,2016-04-13,Wednesday,18:00:00,118
1503960366,4,13,2016-04-13,Wednesday,19:00:00,73
1503960366,4,13,2016-04-13,Wednesday,20:00:00,47
1503960366,4,13,2016-04-13,Wednesday,21:00:00,48
1503960366,4,13,2016-04-13,Wednesday,22:00:00,74
1503960366,4,13,2016-04-13,Wednesday,23:00:00,135
1503960366,4,14,2016-04-14,Thursday,00:00:00,56
1503960366,4,14,2016-04-14,Thursday,01:00:00,54
1503960366,4,14,2016-04-14,Thursday,02:00:00,47
1503960366,4,14,2016-04-14,Thursday,03:00:00,47
1503960366,4,14,2016-04-14,Thursday,04:00:00,47
